candidate_index,sample_index,k,ratio,config,best_iteration,combined_worst_active_rl_db,combined_total_rl_db,combined_active_gate,combined_dynamic_range_db,all_tasks_significant_worst_active_rl_db,all_tasks_significant_worst_total_rl_db,all_tasks_significant_gate,all_tasks_strict_worst_active_rl_db,all_tasks_strict_gate,target_response_error_max,nearest_bound_ratio_max,local_bound_ratio_max,constraint_pass
71,71,6,1.0,balanced30,37,8.687567168503532,13.4284454001513,0,16.515372939578334,8.78327242556921,10.630005905877374,0,8.78327242556921,0,4.780796197213876e-16,0.9666553740702298,1.0000056807597248,1
71,71,6,1.0,combined20,43,10.004446074821923,13.412742102534654,1,16.080639586861437,7.448967382170548,10.6957426531826,0,7.448967382170548,0,6.377642771796017e-16,1.000018054586938,0.9976627646006369,1
71,71,6,1.0,robust20,94,10.104165558242581,13.528970733089558,1,15.812883562775502,9.221150042734385,10.765755180942776,0,9.221150042734385,0,7.967677906695601e-16,1.000397064977978,1.0000042586024003,1
72,72,6,0.5,balanced30,67,10.083800819618586,12.26866207833731,1,22.431668987693204,10.01728256168258,11.506384999107858,1,10.01728256168258,1,4.597134228338409e-16,0.9999702715689763,1.1391876744753695,0
72,72,6,0.5,combined20,88,10.000094897388593,12.390420845758152,1,20.005371473300396,9.836166227805913,11.580542021883694,0,9.836166227805913,0,4.211635086424271e-16,0.9991234517476125,1.0838071500607969,0
72,72,6,0.5,robust20,110,10.10189991932693,12.229918718954291,1,18.9854692130514,10.032663726287023,11.54192224874608,1,10.032663726287023,1,5.283881721837391e-16,0.9947324664956946,1.0091077536001931,1
73,72,6,0.6000000238418579,balanced30,63,10.005622662936457,12.413345870389108,1,19.595670783133208,9.861327759194689,11.778259840161649,0,9.861327759194689,0,2.7392731316663005e-16,1.0113707023666634,1.1567059965321211,0
73,72,6,0.6000000238418579,combined20,82,10.040607939105504,12.523456193930933,1,20.028352045693836,9.997953917596165,11.846151816006818,0,9.997953917596165,0,3.235237423600752e-16,1.0065430368174206,1.1030912332165765,0
73,72,6,0.6000000238418579,robust20,91,10.01980408633727,12.28750697708271,1,19.157682633658887,10.007513752975939,11.769824110325613,1,10.007513752975939,1,5.450911343941528e-16,1.0005368825404655,1.017449576500337,1
74,72,6,0.699999988079071,balanced30,56,9.908296440990084,12.633862926328579,0,18.184806961918195,9.669469448473953,11.516743590786241,0,9.669469448473953,0,1.48730110243423e-16,0.9845271203937915,1.205068168640657,0
74,72,6,0.699999988079071,combined20,79,10.153714611290397,12.706813154495944,1,19.30875195588819,9.215183741685758,11.574679138481178,0,9.215183741685758,0,4.236397071775906e-16,0.9981508779086111,1.1135399107505923,0
74,72,6,0.699999988079071,robust20,77,10.018069163699227,12.527138397191786,1,19.988009683164762,10.018959403931065,11.537601956065979,1,10.018959403931065,1,6.080293504369528e-16,0.9996683359742418,1.0242333967618102,1
75,72,6,0.800000011920929,balanced30,64,9.3900234258186,12.823954310733745,0,22.019374602296587,8.865146262171814,11.61753035914241,0,8.865146262171814,0,2.9602599027989646e-16,0.9924236380610283,1.180741037496356,0
75,72,6,0.800000011920929,combined20,64,10.0107148730286,12.984916608334844,1,20.08343639932123,7.913497017504599,11.649161264452442,0,7.913497017504599,0,5.54819677408176e-16,0.9949384770346968,1.1861415149274006,0
75,72,6,0.800000011920929,robust20,94,10.008939298369208,12.921778794722334,1,20.005765592584687,9.484353216669298,11.606661814769444,0,9.484353216669298,0,5.279943558178882e-16,0.9718361506674134,1.0139404561235472,1
76,72,6,0.8999999761581421,balanced30,69,10.021510642545534,13.049472029408665,1,30.138478840354836,8.484028407790326,11.580019054476363,0,8.484028407790326,0,6.486649236001908e-16,0.9935597983646923,1.1804238864814147,0
