k,ratio,large_scan,candidate_count,combined_strict_mask_worst_min_db,combined_strict_mask_worst_mean_db,combined_strict_mask_worst_max_db,combined_strict_mask_gate_rate,combined_rel40db_worst_min_db,combined_rel40db_worst_mean_db,combined_rel40db_worst_max_db,combined_rel40db_gate_rate,combined_rel30db_worst_min_db,combined_rel30db_worst_mean_db,combined_rel30db_worst_max_db,combined_rel30db_gate_rate,combined_rel20db_worst_min_db,combined_rel20db_worst_mean_db,combined_rel20db_worst_max_db,combined_rel20db_gate_rate
2,0.6,1,2,1.815310958708979,2.586471041975574,3.357631125242169,0.0,1.815310958708979,2.586471041975574,3.357631125242169,0.0,1.815310958708979,2.586471041975574,3.357631125242169,0.0,1.815310958708979,2.586471041975574,3.357631125242169,0.0
2,0.7,0,1,5.479853050516743,5.479853050516743,5.479853050516743,0.0,5.479853050516743,5.479853050516743,5.479853050516743,0.0,5.479853050516743,5.479853050516743,5.479853050516743,0.0,5.479853050516743,5.479853050516743,5.479853050516743,0.0
2,0.7,1,2,2.035983095278802,3.293712682021856,4.5514422687649105,0.0,2.035983095278802,3.293712682021856,4.5514422687649105,0.0,2.035983095278802,3.293712682021856,4.5514422687649105,0.0,2.035983095278802,3.293712682021856,4.5514422687649105,0.0
2,0.8,0,1,5.547773377756453,5.547773377756453,5.547773377756453,0.0,5.547773377756453,5.547773377756453,5.547773377756453,0.0,5.547773377756453,5.547773377756453,5.547773377756453,0.0,5.547773377756453,5.547773377756453,5.547773377756453,0.0
2,0.8,1,2,0.7779013190097167,1.0986138762450175,1.4193264334803182,0.0,0.7779013190097167,1.0986138762450175,1.4193264334803182,0.0,0.7779013190097167,1.0986138762450175,1.4193264334803182,0.0,0.7779013190097167,1.0986138762450175,1.4193264334803182,0.0
2,0.9,0,1,7.509883129209611,7.509883129209611,7.509883129209611,0.0,7.509883129209611,7.509883129209611,7.509883129209611,0.0,7.509883129209611,7.509883129209611,7.509883129209611,0.0,7.509883129209611,7.509883129209611,7.509883129209611,0.0
2,0.9,1,2,2.4484446139219314,2.4935209785783377,2.5385973432347435,0.0,2.4484446139219314,2.4935209785783377,2.5385973432347435,0.0,2.4484446139219314,2.4935209785783377,2.5385973432347435,0.0,2.4484446139219314,2.4935209785783377,2.5385973432347435,0.0
2,1.0,0,1,1.6605694004238758,1.6605694004238758,1.6605694004238758,0.0,1.6605694004238758,1.6605694004238758,1.6605694004238758,0.0,1.6605694004238758,1.6605694004238758,1.6605694004238758,0.0,4.388960825598706,4.388960825598706,4.388960825598706,0.0
2,1.0,1,2,-0.34522323252691245,0.04673870549170228,0.438700643510317,0.0,-0.34522323252691245,0.04673870549170228,0.438700643510317,0.0,-0.34522323252691245,0.04673870549170228,0.438700643510317,0.0,-0.34522323252691245,0.04673870549170228,0.438700643510317,0.0
2,all,all,18,-0.34522323252691245,2.7532971787649476,7.509883129209611,0.0,-0.34522323252691245,2.7532971787649476,7.509883129209611,0.0,-0.34522323252691245,2.7532971787649476,7.509883129209611,0.0,-0.34522323252691245,2.9048744801635498,7.509883129209611,0.0
