destination_port,destination_ix,destination_iy,destination_class,source_port,source_ix,source_iy,source_class,top3_occurrence_count,mean_contribution_fraction,max_contribution_fraction,manhattan_distance
128,8,0,edge,161,10,1,interior,2,0.05265609106613684,0.0533281233215856,3
26,1,10,interior,58,3,10,interior,2,0.05234561777783353,0.05237790049949409,2
71,4,7,interior,54,3,6,interior,2,0.046334932864592906,0.052357511808745545,2
133,8,5,interior,165,10,5,interior,2,0.05183451361346965,0.05204680553244969,2
123,7,11,interior,91,5,11,interior,2,0.04640707458258043,0.051725336307338825,2
196,12,4,interior,164,10,4,interior,2,0.051465866644631895,0.05162109768908188,2
108,6,12,interior,92,5,12,interior,2,0.051213210374564166,0.05153917331773117,1
54,3,6,interior,69,4,5,interior,2,0.050945502950448016,0.0513157227785099,2
52,3,4,interior,37,2,5,interior,2,0.05065706810853515,0.050895175475794634,2
169,10,9,interior,201,12,9,interior,2,0.0505132551606861,0.050843784753441416,2
105,6,9,interior,137,8,9,interior,2,0.044270040840404444,0.05083734560529175,2
183,11,7,interior,151,9,7,interior,2,0.05008435983610346,0.05054233763614473,2
94,5,14,interior,62,3,14,interior,2,0.04404948814658268,0.05002984513204322,2
189,11,13,interior,204,12,12,interior,2,0.04560565377259096,0.049864557143661135,2
42,2,10,interior,74,4,10,interior,2,0.04956907729056735,0.04979172036860842,2
143,8,15,edge,157,9,13,interior,2,0.0494090431274149,0.04973291358788666,3
52,3,4,interior,84,5,4,interior,2,0.049354914338785985,0.04966974570368903,2
108,6,12,interior,76,4,12,interior,2,0.04915406397353888,0.04931315806152318,2
236,14,12,interior,188,11,12,interior,2,0.04909850519195635,0.04916792769699841,3
156,9,12,interior,124,7,12,interior,2,0.04862041597576591,0.04887426480643385,2
110,6,14,interior,111,6,15,edge,2,0.04858424183929748,0.04885046803718807,1
224,14,0,edge,209,13,1,interior,2,0.048573884675599616,0.048600821669235766,2
46,2,14,interior,63,3,15,edge,2,0.04712840263181062,0.04728071569126088,2
155,9,11,interior,123,7,11,interior,2,0.04528872987052248,0.04536397479585465,2
25,1,9,interior,57,3,9,interior,2,0.04444133330412474,0.04477663377125186,2
44,2,12,interior,12,0,12,edge,2,0.04370090340133308,0.04395219742516288,2
183,11,7,interior,135,8,7,interior,2,0.043749603253742074,0.04387360834623818,3
53,3,5,interior,68,4,4,interior,2,0.04373479161137825,0.04376806274581532,2
39,2,7,interior,73,4,9,interior,2,0.043587907624297,0.043615721473698826,4
133,8,5,interior,118,7,6,interior,2,0.043392656873416646,0.043436160542995074,2
110,6,14,interior,109,6,13,interior,2,0.042900633120808024,0.04319438710243933,1
82,5,2,interior,100,6,4,interior,2,0.04306685266339854,0.04319216029710383,3
221,13,13,interior,204,12,12,interior,2,0.041486967856786065,0.04295338754343585,2
94,5,14,interior,127,7,15,edge,2,0.04223806939984378,0.042915399300751465,3
