port_index,ix,iy,port_class,observed_case_count,active_rl_fail10_count,active_rl_fail11_count,fail10_rate_when_observed,fail11_rate_when_observed,worst_gamma,worst_active_rl_db
199,12,7,interior,135,1,6,0.007407407407407408,0.044444444444444446,0.31693092427714853,9.980707656226894
107,6,11,interior,295,0,6,0.0,0.020338983050847456,0.31392751363534754,10.063412392825043
129,8,1,interior,215,0,6,0.0,0.027906976744186046,0.30948067101451726,10.187329403563783
186,11,10,interior,210,0,6,0.0,0.02857142857142857,0.3092313701504474,10.194329105412471
130,8,2,interior,270,0,6,0.0,0.022222222222222223,0.30737540920557455,10.246617601625427
132,8,4,interior,235,0,6,0.0,0.02553191489361702,0.30452765336094817,10.32746528185269
5,0,5,edge,415,0,6,0.0,0.014457831325301205,0.3013834488959154,10.417612031173809
62,3,14,interior,235,0,6,0.0,0.02553191489361702,0.297842136982852,10.520277215317114
49,3,1,interior,200,0,6,0.0,0.03,0.2962253902703957,10.567554393558678
63,3,15,edge,195,0,6,0.0,0.03076923076923077,0.2956039950226608,10.585794016872219
245,15,5,edge,370,2,5,0.005405405405405406,0.013513513513513514,0.33358339398014897,9.535911539720242
181,11,5,interior,355,2,5,0.005633802816901409,0.014084507042253521,0.3329474981707691,9.552484882568654
69,4,5,interior,325,2,5,0.006153846153846154,0.015384615384615385,0.3278357604773903,9.686873502746105
104,6,8,interior,255,2,5,0.00784313725490196,0.0196078431372549,0.32400023274412654,9.789093556395317
44,2,12,interior,320,2,5,0.00625,0.015625,0.32047680166868764,9.884068045019676
137,8,9,interior,335,1,5,0.0029850746268656717,0.014925373134328358,0.3197095466972379,9.904887905405893
17,1,1,interior,230,0,5,0.0,0.021739130434782608,0.3152610684557801,10.026593138086742
204,12,12,interior,380,0,5,0.0,0.013157894736842105,0.3137286488288332,10.068916418511007
153,9,9,interior,330,0,5,0.0,0.015151515151515152,0.309600218065982,10.183974841900516
254,15,14,edge,415,0,5,0.0,0.012048192771084338,0.3089597103407449,10.201963014579157
240,15,0,corner,340,0,5,0.0,0.014705882352941176,0.3087521475667115,10.207800258572448
