stimulus_index,stimulus_family,sample_index,k_value,ratio,window_role,source_type,task_index,worst_port,active_rl_db,worst_gamma_magnitude,source_port_magnitude,reflected_port_magnitude,required_b_reduction_for_10db,required_b_reduction_for_11db,stop_line_pass,design_line_pass
631,k6_supported_scene,421025,6,0.5,edge,task,2,P01,4.054220147625933,0.6270309711585547,0.2944189511647466,0.1846098008763141,0.09150635367646577,0.10163126621596365,False,False
436,k6_supported_scene,421022,6,0.5,edge,task,0,P11,4.069807534589433,0.6259067328590724,0.39596990770272616,0.2478402312407218,0.1226235519179952,0.13624074832434935,False,False
272,old_285_replay,426113,4,0.800000011920929,interior,task,1,P11,4.097349340468752,0.6239252087256952,0.3798806384681416,0.2370171066470856,0.11688830099125513,0.1299521959094403,False,False
910,k6_supported_scene,421029,6,0.5,interior,task,4,P10,4.1179207948207655,0.6224492675884872,0.44935814988875067,0.2797026512831705,0.13760312740239147,0.1530563173160676,False,False
1156,k6_supported_scene,421033,6,0.5,interior,task,2,P10,4.168883300392043,0.618807879346589,0.3495455202384927,0.21630152211388187,0.1057655231276699,0.11778620931986972,False,False
1204,k6_supported_scene,421034,6,0.5,edge,task,4,P00,4.194739035446528,0.6169685809855462,0.4379535274880862,0.27020356639193893,0.13171050077518762,0.14677149173599094,False,False
988,k6_supported_scene,421031,6,0.5,corner,task,2,P10,4.205493572443233,0.6162051467642528,0.37671051338147166,0.23213095718586674,0.11300463310418782,0.12595950909164583,False,False
421,k6_supported_scene,421022,6,0.5,corner,task,2,P00,4.27590856821826,0.6112298729592303,0.330708658176932,0.20213901112400365,0.09755975094628636,0.10893264738128006,False,False
1012,k6_supported_scene,421031,6,0.5,edge,task,3,P10,4.374771692502797,0.6043122743001449,0.2519763047294411,0.15227237378079492,0.07259046984702576,0.08125580214754018,False,False
1093,k6_supported_scene,421032,6,0.5,interior,task,2,P11,4.39956911746983,0.602589478100364,0.3490057461443873,0.21030719042317447,0.09994188299289523,0.11194400663851886,False,False
961,k6_supported_scene,421030,6,0.5,interior,task,0,P11,4.539910835975324,0.592931411219576,0.4537598311702345,0.2690484570505237,0.12555699933138292,0.1411615607441608,False,False
40,old_285_replay,426110,4,0.699999988079071,corner,combined,-1,P10,4.558869587781168,0.5916386270965512,0.43408529019971104,0.2568216251365651,0.11955180355593967,0.13447976787538082,False,False
715,k6_supported_scene,421026,6,0.5,interior,task,2,P10,4.579556362736712,0.5902312258321877,0.4996382076712106,0.29490207178637584,0.13690259755785197,0.1540848921555654,False,False
529,k6_supported_scene,421023,6,0.5,interior,task,3,P00,4.583191132386894,0.5899842844344988,0.3812722394542596,0.22494462936916024,0.10437576084230282,0.11748751218487435,False,False
1255,k6_supported_scene,421035,6,0.5,edge,task,0,P00,4.58925454321309,0.5895725743026089,0.2618240606586163,0.15436428545686282,0.07156824766533151,0.0805722391014035,False,False
667,k6_supported_scene,421026,6,0.5,corner,task,0,P10,4.6654634569419215,0.5844223646634841,0.363343298187291,0.212345949511246,0.09744671002828915,0.10994189453120683,False,False
448,k6_supported_scene,421022,6,0.5,edge,task,4,P00,4.674139253088654,0.5838389128658192,0.37463528843337296,0.21872665952011305,0.1002565791877538,0.11314008928311768,False,False
1378,k6_supported_scene,421037,6,0.5,edge,combined,-1,P10,4.694615790084711,0.5824641638168992,0.37449908501119755,0.21813229640124104,0.09970528737280017,0.11258411350426957,False,False
1036,k6_supported_scene,421031,6,0.5,interior,task,4,P11,4.7090874598737935,0.5814945209513197,0.30658332191382337,0.17827652190794294,0.08132636292111349,0.09186960175871542,False,False
1096,k6_supported_scene,421032,6,0.5,interior,task,3,P00,4.735193692525998,0.5797494100490228,0.4300505553491288,0.24932155575491205,0.11332762936255653,0.12811684127723366,False,False
295,k6_supported_scene,421020,6,0.5,corner,task,2,P10,4.763584206455647,0.5778575470074068,0.4709943122309427,0.27216761792021316,0.12322613875678509,0.1394233848887802,False,False
1513,k6_supported_scene,421039,6,0.5,edge,task,2,P10,4.812676380207548,0.574600740035531,0.2762656106405291,0.15874242432041585,0.07137956744028376,0.08088019616795399,False,False
1162,k6_supported_scene,421033,6,0.5,interior,task,4,P01,4.818527163797405,0.5742138214002632,0.3666687336332445,0.21054625472754052,0.0945954202224766,0.10720496469751165,False,False
862,k6_supported_scene,421029,6,0.5,corner,task,2,P00,4.824100105698179,0.5738455190127199,0.31301321768893,0.1796212323625455,0.08063776179903301,0.09140212136308101,False,False
1120,k6_supported_scene,421033,6,0.5,corner,task,4,P01,4.853903203754873,0.5718799095463613,0.3622574805741226,0.207167775223222,0.09261190141837913,0.10506974522592484,False,False
937,k6_supported_scene,421030,6,0.5,edge,combined,-1,P10,4.935759164071777,0.5665158196337062,0.4455991603086117,0.25243897353032435,0.11152814652695323,0.12685206677036792,False,False
1243,k6_supported_scene,421035,6,0.5,corner,task,3,P01,4.946800765927745,0.5657961158149091,0.40846542388060886,0.23110815027633888,0.10194004178745317,0.11598695240865808,False,False
298,k6_supported_scene,421020,6,0.5,corner,task,3,P01,5.069183265948406,0.5578800571270599,0.30793720609177516,0.17179202612602676,0.07441373137015808,0.08500352957099441,False,False
