stimulus_index,stimulus_family,sample_index,k_value,ratio,window_role,source_type,task_index,worst_port,active_rl_db,worst_gamma_magnitude,source_port_magnitude,reflected_port_magnitude,required_b_reduction_for_10db,required_b_reduction_for_11db,stop_line_pass,design_line_pass,s_column_port,coupling_relation,d_active_rl_db_d_re_s,d_active_rl_db_d_im_s,jacobian_magnitude
84,old_285_replay,426113,4,0.800000011920929,corner,task,3,P11,5.086109391287089,0.5567939791738572,0.43572592365539337,0.2426095708612908,0.10482093542812249,0.1198053202673109,False,False,P01,x_neighbor,0.0,-0.0,0.0
84,old_285_replay,426113,4,0.800000011920929,corner,task,3,P11,5.086109391287089,0.5567939791738572,0.43572592365539337,0.2426095708612908,0.10482093542812249,0.1198053202673109,False,False,P11,self,15.477790577101072,1.9474586062125294,15.59982679940742
101,old_285_replay,426105,2,0.800000011920929,edge,combined,-1,P10,5.686594047993436,0.5196013821091432,0.3395165012162602,0.17641324328082944,0.06904869857535843,0.08072449208977595,False,False,P00,x_neighbor,-15.146560100245829,20.619419334877684,25.584736398444413
101,old_285_replay,426105,2,0.800000011920929,edge,combined,-1,P10,5.686594047993436,0.5196013821091432,0.3395165012162602,0.17641324328082944,0.06904869857535843,0.08072449208977595,False,False,P10,self,-9.550866960093712,13.719350710282763,16.71644829505197
101,old_285_replay,426105,2,0.800000011920929,edge,combined,-1,P10,5.686594047993436,0.5196013821091432,0.3395165012162602,0.17641324328082944,0.06904869857535843,0.08072449208977595,False,False,P01,diagonal,18.256694550938267,26.461189999985237,32.148117707598026
101,old_285_replay,426105,2,0.800000011920929,edge,combined,-1,P10,5.686594047993436,0.5196013821091432,0.3395165012162602,0.17641324328082944,0.06904869857535843,0.08072449208977595,False,False,P11,y_neighbor,18.322551502981312,10.99781735144451,21.36978895719695
102,old_285_replay,426105,2,0.800000011920929,edge,task,0,P10,8.509216954905218,0.37543879927914603,0.5589432959617003,0.20984899990098912,0.03309561008893236,0.05231737541267392,False,False,P00,x_neighbor,-10.239865131221102,17.70513649255152,20.453036354670605
102,old_285_replay,426105,2,0.800000011920929,edge,task,0,P10,8.509216954905218,0.37543879927914603,0.5589432959617003,0.20984899990098912,0.03309561008893236,0.05231737541267392,False,False,P10,self,-13.847243850180655,18.533644846742714,23.135301025738972
102,old_285_replay,426105,2,0.800000011920929,edge,task,0,P10,8.509216954905218,0.37543879927914603,0.5589432959617003,0.20984899990098912,0.03309561008893236,0.05231737541267392,False,False,P01,diagonal,19.971700574509093,-3.1389696419110975,20.216873008719386
102,old_285_replay,426105,2,0.800000011920929,edge,task,0,P10,8.509216954905218,0.37543879927914603,0.5589432959617003,0.20984899990098912,0.03309561008893236,0.05231737541267392,False,False,P11,y_neighbor,15.707822389626708,10.20784429877304,18.73327973025683
103,old_285_replay,426105,2,0.800000011920929,edge,task,1,P10,7.284176220360984,0.43230592614791896,0.4933079856351257,0.21325996560615731,0.05726228335049513,0.07422688494910845,False,False,P00,x_neighbor,-16.18471862793097,15.435142481674509,22.364899742562873
103,old_285_replay,426105,2,0.800000011920929,edge,task,1,P10,7.284176220360984,0.43230592614791896,0.4933079856351257,0.21325996560615731,0.05726228335049513,0.07422688494910845,False,False,P10,self,-6.664543224581441,18.954477884057358,20.09199761719909
103,old_285_replay,426105,2,0.800000011920929,edge,task,1,P10,7.284176220360984,0.43230592614791896,0.4933079856351257,0.21325996560615731,0.05726228335049513,0.07422688494910845,False,False,P01,diagonal,-7.084780715588542,15.860647649259178,17.371075431357898
103,old_285_replay,426105,2,0.800000011920929,edge,task,1,P10,7.284176220360984,0.43230592614791896,0.4933079856351257,0.21325996560615731,0.05726228335049513,0.07422688494910845,False,False,P11,y_neighbor,16.828160769036963,13.04003073188453,21.289184962253668
116,old_285_replay,426109,2,0.6000000238418579,edge,combined,-1,P11,3.286082163063498,0.6850083916909813,0.37484808989463403,0.2567740871871596,0.13823671312410063,0.1511275413495476,False,False,P00,diagonal,-0.0,-0.0,0.0
116,old_285_replay,426109,2,0.6000000238418579,edge,combined,-1,P11,3.286082163063498,0.6850083916909813,0.37484808989463403,0.2567740871871596,0.13823671312410063,0.1511275413495476,False,False,P10,y_neighbor,17.112493242339877,26.280121729043422,31.36052013379989
