candidate_index,sample_index,scene_id,target_hash,boundary_type,boundary_side,variant_kind,parent_candidate_index,k,active_ratio,active_count,implementation_delta_norm,implementation_delta_max,task_mixing_amplitude,coherent_mode_amplitude,boundary_metric_code,nominal_eep_gate15,actual_basis_gate15,actual_basis_gate20,actual_basis_mainlobe_gate,predicted_hard_negative,nominal_psll_db,actual_basis_psll_db,nominal_nearest_iso_db,actual_basis_nearest_iso_db,nominal_local_iso_db,actual_basis_local_iso_db,actual_basis_pointing_error_deg,combined_worst_active_rl_db,combined_total_rl_db,task_significant_worst_active_rl_db,robust_active_gate,expected_hfss_case_count
35,200011,gate15_nearest_200011_240d5ce75b5e4550,240d5ce75b5e4550,nearest,outside,gate15_nearest_outside,1,2,0.4140625,106,0.06634421646595001,0.0905817523598671,0.095,0.0,2,1,0,0,1,1,-9.8551025390625,-9.86383056640625,27.340553283691406,24.558349609375,23.715835571289062,21.30577850341797,0.012655727310652846,9.4962381764682,11.345843455551886,10.026662350316036,0,3
36,200012,gate15_nearest_200012_4d54b5a17a6ec8f9,4d54b5a17a6ec8f9,nearest,control,nominal_control,2,2,0.3984375,102,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-6.1059417724609375,-6.1059417724609375,31.79894256591797,31.79894256591797,23.39252471923828,23.39252471923828,0.9999999999995357,10.041386621988106,10.951331313309154,10.033139167347986,1,3
37,200012,gate15_nearest_200012_4d54b5a17a6ec8f9,4d54b5a17a6ec8f9,nearest,inside,gate15_nearest_inside,2,2,0.3984375,102,0.02880062907934189,0.03636964410543442,0.05,0.0,2,1,1,1,1,0,-6.1059417724609375,-6.335990905761719,31.79894256591797,25.394702911376953,23.39252471923828,22.21078872680664,0.9999116175466526,9.973495995367564,10.950062229481505,10.065896293508573,0,3
38,200012,gate15_nearest_200012_4d54b5a17a6ec8f9,4d54b5a17a6ec8f9,nearest,outside,gate15_nearest_outside,2,2,0.3984375,102,0.03600078821182251,0.045462049543857574,0.05,0.0,2,1,0,0,1,1,-6.1059417724609375,-6.391761779785156,31.79894256591797,24.292171478271484,23.39252471923828,21.615127563476562,0.9999116175466526,9.916849255658741,10.94948440345772,10.077925882819056,0,3
39,200013,gate15_nearest_200013_3dc96cc469845f24,3dc96cc469845f24,nearest,control,nominal_control,3,4,0.50390625,129,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-8.892547607421875,-8.892547607421875,30.027938842773438,30.027938842773438,23.160865783691406,23.160865783691406,1.0000000000002647,10.104846297515607,11.156076037700435,10.001695804113472,1,5
40,200013,gate15_nearest_200013_3dc96cc469845f24,3dc96cc469845f24,nearest,inside,gate15_nearest_inside,3,4,0.50390625,129,0.04068838804960251,0.08000001311302185,0.08499999999999999,0.0,2,1,1,1,1,0,-8.892547607421875,-8.637535095214844,30.027938842773438,25.235496520996094,23.160865783691406,21.974727630615234,1.0000753031921357,9.185890743067928,11.148008333002853,9.670846912077089,0,5
41,200013,gate15_nearest_200013_3dc96cc469845f24,3dc96cc469845f24,nearest,outside,gate15_nearest_outside,3,4,0.50390625,129,0.04323141276836395,0.08499999344348907,0.08499999999999999,0.0,2,1,0,0,1,1,-8.892547607421875,-8.621818542480469,30.027938842773438,24.447734832763672,23.160865783691406,21.75143051147461,1.0000753031921357,9.116394680372187,11.147360096439806,9.630914001368849,0,5
42,200014,gate15_nearest_200014_ef1ce78d49987ba8,ef1ce78d49987ba8,nearest,control,nominal_control,4,2,0.49609375,127,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-10.180625915527344,-10.180625915527344,29.457618713378906,29.457618713378906,24.000579833984375,24.000579833984375,0.17430270312381774,10.065988127514174,11.096444457642376,10.082645940327366,1,3
43,200014,gate15_nearest_200014_ef1ce78d49987ba8,ef1ce78d49987ba8,nearest,inside,gate15_nearest_inside,4,2,0.49609375,127,0.024801762774586678,0.029824869707226753,0.045,0.0,2,1,1,1,1,0,-10.180625915527344,-10.432464599609375,29.457618713378906,25.580413818359375,24.000579833984375,23.636871337890625,0.17389603275297366,9.91105003495716,11.109681243339294,10.106918833561856,0,3
44,200014,gate15_nearest_200014_ef1ce78d49987ba8,ef1ce78d49987ba8,nearest,outside,gate15_nearest_outside,4,2,0.49609375,127,0.031887974590063095,0.03834623098373413,0.045,0.0,2,1,0,0,1,1,-10.180625915527344,-10.502655029296875,29.457618713378906,24.21892547607422,24.000579833984375,22.833702087402344,0.17389603275297366,9.80463135605413,11.113150903876717,10.106918833561856,0,3
45,200015,gate15_nearest_200015_08dfc3e74c865e29,08dfc3e74c865e29,nearest,control,nominal_control,5,2,0.51171875,131,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-5.1914215087890625,-5.1914215087890625,29.565662384033203,29.565662384033203,22.803394317626953,22.803394317626953,0.9999999999999002,10.085367754462027,10.246025047962286,10.025582266481525,1,3
46,200015,gate15_nearest_200015_08dfc3e74c865e29,08dfc3e74c865e29,nearest,inside,gate15_nearest_inside,5,2,0.51171875,131,0.04955814778804779,0.0676257461309433,0.08,0.0,2,1,1,1,1,0,-5.1914215087890625,-5.695709228515625,29.565662384033203,25.259967803955078,22.803394317626953,22.803394317626953,0.9999568648729599,9.825044716781415,10.237329255984505,10.057861452493732,0,3
47,200015,gate15_nearest_200015_08dfc3e74c865e29,08dfc3e74c865e29,nearest,outside,gate15_nearest_outside,5,2,0.51171875,131,0.056637879461050034,0.07728656381368637,0.08,0.0,2,1,0,0,1,1,-5.1914215087890625,-5.692481994628906,29.565662384033203,24.188385009765625,22.803394317626953,22.803394317626953,0.9999568648729599,9.773043812814116,10.236141590263731,10.057861452493732,0,3
48,200016,gate15_nearest_200016_65739b34afb991b2,65739b34afb991b2,nearest,control,nominal_control,7,4,0.59375,152,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-6.07305908203125,-6.07305908203125,28.69241714477539,28.69241714477539,22.50377655029297,22.50377655029297,0.9999999999999002,10.067972140534367,11.49923790773119,10.037385696865865,1,5
