trial,active_rl_min_db,total_rl_min_db,passive_rl_min_db,integrated_vs_target_max_abs_delta_s,joint_gate_pass
273,12.471773391549545,13.073358697364037,14.739671768480736,0.04269046413365544,1
274,12.499842083918491,13.04168167078046,14.732672584146876,0.03857159378619752,1
275,12.494178738577254,13.039186024283218,14.72004334125682,0.03831723006268634,1
276,12.436573549270985,13.030782832259277,14.843514176964817,0.03846619215490039,1
277,12.497101892516536,13.07027087104448,14.779086399014368,0.038180930557175086,1
278,12.321079452814246,13.074407490829634,14.744524202176885,0.039660097656067796,1
279,12.406172981841387,13.063970344527128,14.753236207222024,0.039816760627459036,1
280,12.463709505610282,13.042907876556498,14.698767045223684,0.039640791730423036,1
281,12.497055314404976,13.07115188146587,14.802040556905773,0.03910114914663305,1
282,12.461742976105409,13.070588255686129,14.745223859647085,0.040864697930961126,1
283,12.446362634497067,13.007151452599308,14.730942600839011,0.03883298806739134,1
284,12.50804666038874,13.073754328264577,14.73802196297973,0.04173320366485028,1
285,12.578104422935377,13.012128076527997,14.752036143708596,0.03937704456753325,1
286,12.386269379181535,12.995691052573282,14.886234012682456,0.039771058507693934,1
287,12.492702220537517,13.01804278463064,14.754561641293906,0.04192077567631674,1
288,12.473945926539153,13.086520946589378,14.814539821639634,0.03828226866522341,1
289,12.467153960444,13.082959509210975,14.871523962003312,0.038638913746070674,1
290,12.51753788677431,13.027470071500314,14.803238872208217,0.04069070036924195,1
291,12.534822663620783,13.070482877312418,14.889374425274958,0.0428273330185313,1
292,12.491889792656137,13.036953726521727,14.722847763910853,0.04090718268801613,1
293,12.450696607476296,13.020492783982116,14.669288261125729,0.03977076431933648,1
294,12.54625607227407,13.036981688017548,14.784419544725543,0.04094410220717204,1
295,12.586355088185478,13.060474970587991,14.80293138986305,0.039410334100204655,1
296,12.46007268813111,13.0484072723522,14.730405122521596,0.040738014474556355,1
297,12.491581730302324,13.070920200170299,14.795510225799681,0.038389716449671554,1
298,12.49976194943049,12.99839521847039,14.76335397886354,0.042370986035305466,1
299,12.510081734455627,13.09312197856469,14.80156374077741,0.03889393921318123,1
300,12.526141430744488,13.060241395638004,14.77195214172006,0.037794302541370665,1
301,12.4851216364894,13.059678476437263,14.79143701648308,0.039818799214780536,1
302,12.53131745016185,13.047052186514517,14.769451726488072,0.039426137329283406,1
303,12.524266154322989,13.037247951008915,14.761136557326848,0.038003420522028354,1
304,12.50723112625899,12.977644257778325,14.694349754200724,0.03945220933946925,1
305,12.547199727263836,13.055581600000414,14.86125978079942,0.04566950357988554,1
306,12.482211470039186,13.043631020879548,14.746309353104838,0.03853900135492992,1
307,12.56615480684591,13.051676164925208,14.741345337438618,0.03783469377733798,1
308,12.559202946381351,13.054302960441575,14.797171205128405,0.04275579382560139,1
309,12.384120621286506,13.074581958342414,14.651706031790216,0.0406540657442663,1
310,12.48106136539465,13.076183076295093,14.82480855140889,0.03834311196894557,1
311,12.449334787795209,13.067675614392481,14.759544831440811,0.038745320768823414,1
312,12.458094117329217,13.034270744823296,14.717742111722256,0.038661486773485985,1
313,12.446569206457758,13.066614440171227,14.775997390574616,0.03809415224168613,1
